Campaign ID,Impressions,Clicks,Conversions,Spend,Revenue,Status
CAMP_001,16795,2037,15,1756.89,1756.89,Active
CAMP_002,1860,1860,96,3229.07,3229.07,Paused
CAMP_003,77820,1505,72,3347.93,3418.8,Paused
CAMP_004,55886,401,58,4322.2,4322.2,Paused
CAMP_005,7265,4524,69,1158.62,1158.62,Active
CAMP_006,83386,4484,79,2500.97,3114.13,Active
CAMP_007,38194,3571,92,2864.3,9795.11,Active
CAMP_008,88498,2288,2,3845.08,3845.08,Paused
CAMP_009,45131,3109,19,227.58,227.58,Active
CAMP_010,61263,210,58,4972.81,7633.64,Active
CAMP_011,17023,4885,35,2355.02,8069.13,Active
CAMP_012,42090,3114,18,1405.01,3463.04,Active
CAMP_013,68221,4608,89,4418.64,4646.74,Paused
CAMP_014,65820,2464,66,3741.12,6497.74,Paused
CAMP_015,1769,1769,18,4765.83,4765.83,Active
CAMP_016,60735,814,19,1660.44,9491.46,Paused
CAMP_017,63955,2741,95,2768.3,8866.8,Active
CAMP_018,65925,2783,70,2865.74,2865.74,Active
CAMP_019,68969,1580,51,4901.85,4901.85,Active
CAMP_020,6311,2700,32,385.98,9334.36,Active
CAMP_021,84104,3850,39,1535.43,5010.4,Active
CAMP_022,54707,1038,38,962.65,5393.77,Active
CAMP_023,86305,512,81,1349.69,6839.64,Active
CAMP_024,29693,4503,0,2431.55,6158.51,Active
CAMP_025,72932,880,10,1869.71,9438.92,Active
CAMP_026,94016,4498,91,1979.51,9442.52,Active
CAMP_027,26658,216,56,4222.62,8671.99,Active
CAMP_028,85478,1494,88,4650.78,6364.04,Active
CAMP_029,19431,873,49,361.38,8009.49,Active
CAMP_030,3747,2800,22,1052.5,6771.68,Active
CAMP_031,60150,573,30,3359.01,5733.67,Paused
CAMP_032,66725,4201,93,1799.65,1799.65,Active
CAMP_033,85654,1767,41,1278.28,8112.04,Active
CAMP_034,36773,1688,98,1483.5,8206.39,Active
CAMP_035,68435,3252,6,1619.53,6259.4,Active
CAMP_036,57886,4646,15,4244.86,8204.27,Active
CAMP_037,67803,1069,89,691.74,6514.85,Active
CAMP_038,32551,1732,59,3547.47,3547.47,Active
CAMP_039,12394,3324,1,2768.57,2768.57,Active
CAMP_040,70092,3167,0,1489.59,2145.89,Paused
CAMP_041,4890,2635,47,2104.71,3772.59,Paused
CAMP_042,42606,2739,11,1288.47,1288.47,Active
CAMP_043,97276,1607,68,3061.45,6182.54,Active
CAMP_044,81038,3070,36,417.15,3365.54,Active
CAMP_045,88313,2703,31,35.87,6557.23,Paused
CAMP_046,11627,4901,8,3143.19,3853.97,Paused
CAMP_047,9792,3637,98,979.43,6816.14,Active
CAMP_048,74969,1373,18,364.0,3406.25,Active
CAMP_049,44001,1991,47,1989.95,2606.95,Active
CAMP_050,77552,1673,79,263.33,4960.37,Active
CAMP_051,24897,1539,2,4434.22,6928.9,Active
CAMP_052,69148,2048,19,147.81,3483.37,Active
CAMP_053,24483,3312,23,2898.54,9366.48,Paused
CAMP_054,49555,2247,53,2197.99,2197.99,Active
CAMP_055,18159,1316,32,3363.41,4179.46,Active
CAMP_056,81077,4039,23,1647.48,9675.81,Active
CAMP_057,36920,2685,74,783.66,5479.72,Paused
CAMP_058,93067,1292,71,4909.39,4909.39,Paused
CAMP_059,68121,719,35,4196.28,5685.2,Active
CAMP_060,70479,4754,37,4303.42,5759.25,Active
CAMP_061,90475,4423,83,1258.75,7316.48,Active
CAMP_062,20457,3758,98,203.79,1276.9,Active
CAMP_063,67557,4789,88,1523.29,2500.16,Active
CAMP_064,78189,673,98,2690.04,5805.44,Active
CAMP_065,79953,2008,24,1639.99,8671.17,Active
CAMP_066,53995,3455,92,4141.07,5618.67,Active
CAMP_067,41757,3753,17,1365.0,2385.97,Active
CAMP_068,10692,1505,81,4826.61,6798.45,Active
CAMP_069,46758,3314,65,2291.75,7399.09,Active
CAMP_070,73409,3773,53,4211.7,4211.7,Active
CAMP_071,72211,1863,34,979.96,3777.29,Active
CAMP_072,66697,4669,79,2062.66,5343.27,Active
CAMP_073,38065,1301,60,3500.57,4965.61,Active
CAMP_074,93093,3591,40,700.38,3896.18,Active
CAMP_075,33606,3467,99,672.4,2976.35,Active
CAMP_076,12534,1646,32,4847.99,4847.99,Active
CAMP_077,95663,3706,67,3575.83,3575.83,Active
CAMP_078,41397,3009,32,214.93,9585.41,Paused
CAMP_079,92387,3162,13,2000.12,8471.43,Active
